iteration,w,b,cost
414,0.862955,0.218481,0.0294825
415,0.862955,0.212412,0.0296023
416,0.860861,0.210319,0.0297269
417,0.860861,0.204477,0.0298954
418,0.859046,0.202662,0.0300279
419,0.857332,0.200948,0.0301604
420,0.855713,0.199329,0.0302921
421,0.860891,0.209685,0.0297425
422,0.860891,0.20386,0.029914
423,0.86597,0.214018,0.0294681
424,0.86597,0.208073,0.0296027
425,0.863914,0.206017,0.0297327
426,0.863914,0.200294,0.0299133
427,0.86213,0.19851,0.0300497
428,0.867275,0.2088,0.0295393
429,0.867275,0.203,0.0296967
430,0.867275,0.197361,0.0298819
431,0.8724,0.207611,0.0293958
432,0.870177,0.205389,0.0295252
433,0.875171,0.215375,0.0291702
434,0.875171,0.209393,0.0292701
435,0.880074,0.219199,0.0290039
436,0.877316,0.216441,0.029099
437,0.877316,0.210429,0.0291866
438,0.877316,0.204584,0.0293064
439,0.877316,0.198901,0.0294557
440,0.877316,0.193376,0.0296318
441,0.877316,0.188004,0.0298322
442,0.877316,0.182782,0.0300548
443,0.875647,0.181113,0.0302055
444,0.87407,0.179536,0.0303541
445,0.872581,0.178047,0.0304999
446,0.877937,0.18876,0.0297775
447,0.877937,0.183516,0.0299954
448,0.883181,0.194003,0.0293978
449,0.881037,0.191859,0.029545
450,0.886143,0.202071,0.0290897
451,0.883692,0.19962,0.0292226
452,0.883692,0.194075,0.0293777
453,0.881532,0.191915,0.0295248
454,0.879492,0.189875,0.0296742
455,0.884636,0.200163,0.0291793
456,0.889602,0.210094,0.0288627
457,0.894395,0.219681,0.0287072
458,0.899021,0.228934,0.0286969
459,0.899021,0.222575,0.0286422
460,0.895644,0.219197,0.0286854
461,0.895644,0.213108,0.0287018
462,0.892623,0.210087,0.0287913
463,0.88977,0.207234,0.0288962
464,0.894601,0.216898,0.0287066
465,0.894601,0.210873,0.0287396
466,0.899349,0.220368,0.0286277
467,0.903932,0.229533,0.0286569
468,0.903932,0.223157,0.0285826
469,0.900401,0.219627,0.0286094
470,0.897067,0.216293,0.0286624
471,0.901723,0.225603,0.0286306
472,0.906216,0.23459,0.0287319
473,0.906216,0.228074,0.0286161
474,0.902486,0.224344,0.02861
475,0.898963,0.220821,0.0286351
476,0.895635,0.217493,0.0286864
477,0.900284,0.22679,0.0286591
478,0.900284,0.220491,0.0286143
479,0.896929,0.217136,0.0286636
480,0.896929,0.211104,0.0286883
481,0.896929,0.20524,0.0287471
482,0.894091,0.202402,0.0288608
483,0.891411,0.199722,0.028986
484,0.888879,0.19719,0.0291202
485,0.888879,0.191713,0.0292723
486,0.888879,0.186387,0.029449
487,0.886788,0.184297,0.0296054
488,0.891959,0.194639,0.0290898
489,0.891959,0.189232,0.0292452
490,0.897026,0.199365,0.0288379
491,0.901917,0.209146,0.028601
492,0.901917,0.203337,0.028656
493,0.901917,0.197688,0.0287418
494,0.906796,0.207448,0.0285186
495,0.906796,0.201686,0.0285688
496,0.906796,0.196083,0.0286494
497,0.911665,0.20582,0.0284406
498,0.911665,0.200103,0.0284856
499,0.916443,0.20966,0.0283603
500,0.916443,0.203836,0.0283702
501,0.913102,0.200495,0.0284533
502,0.917866,0.210022,0.0283426
503,0.914313,0.206469,0.0283943
504,0.918985,0.215813,0.028362
505,0.923495,0.224832,0.0284638
506,0.927848,0.233538,0.0286858
507,0.923365,0.229055,0.0285569
508,0.92766,0.237646,0.0288197
509,0.923068,0.233054,0.0286608
510,0.918731,0.228717,0.0285575
511,0.918731,0.222364,0.0284416
512,0.923152,0.231205,0.0286109
513,0.923152,0.224783,0.0284638
514,0.919043,0.220673,0.0284155
515,0.915162,0.216792,0.0284073
516,0.919684,0.225838,0.0284961
517,0.919684,0.219564,0.0283965
518,0.919684,0.213465,0.0283374
519,0.915986,0.209767,0.0283666
520,0.912493,0.206274,0.0284245
521,0.909193,0.202974,0.0285063
522,0.909193,0.197336,0.0285735
523,0.914028,0.207005,0.0283972
524,0.914028,0.201255,0.028429
525,0.918774,0.210747,0.0283336
526,0.923355,0.21991,0.0283786
527,0.923355,0.213802,0.0283061
528,0.927863,0.222816,0.028413
529,0.927863,0.216627,0.0283079
530,0.932299,0.2255,0.0284718
531,0.936582,0.234065,0.0287498
532,0.936582,0.227564,0.0285389
533,0.932022,0.223004,0.0284126
534,0.932022,0.216809,0.0282933
535,0.936428,0.22562,0.0284836
536,0.936428,0.219353,0.028333
537,0.940767,0.228031,0.0285741
538,0.940767,0.221697,0.0283931
539,0.936254,0.217184,0.0282902
540,0.940625,0.225926,0.0285088
541,0.940625,0.21965,0.0283429
542,0.936173,0.215198,0.0282553
543,0.940572,0.223996,0.0284534
544,0.940572,0.217773,0.0283009
545,0.940572,0.211724,0.0281898
546,0.936341,0.207494,0.028156
547,0.940846,0.216503,0.0282746
548,0.936475,0.212132,0.028208
549,0.932347,0.208004,0.0281874
550,0.928448,0.204106,0.0282058
551,0.928448,0.198436,0.0282124
552,0.924924,0.194911,0.0282907
553,0.921595,0.191583,0.0283921
554,0.926423,0.201239,0.0282314
555,0.922877,0.197693,0.0283018
556,0.919528,0.194343,0.0283963
557,0.919528,0.188945,0.0284787
558,0.916515,0.185932,0.0286112
559,0.913669,0.183086,0.0287565
560,0.91867,0.193088,0.0284304
561,0.915566,0.189984,0.0285505
